Filename,Correct,Incorrect,Blank,Points Earned,Max Points,Percentage,Passed
20250529110230_001.jpg,9,91,0,9,100,9.00%,No
20250529110230_002.jpg,10,90,0,10,100,10.00%,No
20250529110230_003.jpg,6,94,0,6,100,6.00%,No
20250529110230_004.jpg,7,93,0,7,100,7.00%,No
20250529110230_005.jpg,10,90,0,10,100,10.00%,No
20250529110230_006.jpg,8,92,0,8,100,8.00%,No
20250529110230_007.jpg,7,93,0,7,100,7.00%,No
20250529110230_008.jpg,4,96,0,4,100,4.00%,No
20250529110230_009.jpg,6,94,0,6,100,6.00%,No
20250529110230_010.jpg,12,88,0,12,100,12.00%,No
20250529110230_011.jpg,12,88,0,12,100,12.00%,No
20250529110230_012.jpg,6,94,0,6,100,6.00%,No
20250529110230_013.jpg,4,96,0,4,100,4.00%,No
20250529110230_014.jpg,6,94,0,6,100,6.00%,No
